median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id
23100,7593,1497,1523,0.3881206,0.2902674,0.4335572,0.0019755,0.016415,1553,0.0193175,0.8886027,457,138
21300,152,44,61,0.4671053,0.2105263,0.4736842,0.1907895,0.2622951,69,0.115942,0.7246377,196,139
27000,1581,437,613,0.5325743,0.1954459,0.4516129,0.1612903,0.2707993,671,0.0864382,0.7138599,255,140
25000,177,54,69,0.5084746,0.2090395,0.5028249,0.1355932,0.2173913,73,0.0547945,0.5890411,179,141
17300,384,105,139,0.5,0.2005208,0.4869792,0.1432292,0.2230216,151,0.0794702,0.7483444,129,142
45800,6400,1874,2379,0.5140625,0.173125,0.5576562,0.1135938,0.1908365,2462,0.033712399999999997,0.8354996,378,143
27800,1094,324,425,0.5319927,0.2001828,0.4689214,0.1581353,0.2258824,455,0.0659341,0.778022,188,144
24600,42523,11732,17512,0.5451638,0.1777391,0.4676998,0.2027609,0.3071608,19146,0.0853442,0.7295519,250,145
14999,449,120,166,0.5100223,0.1781737,0.4097996,0.1804009,0.2710843,214,0.2242991,0.7429907,99,146
14999,265,78,109,0.5396226,0.2377358,0.4490566,0.1660377,0.2752294,124,0.1209677,0.6290323,197,147
0,7,2,2,0.7142857,0.1428571,0.4285714,0.1428571,0,3,0.3333333,0.6666667,99,148
26300,578,182,229,0.5103806,0.1557093,0.5467128,0.1384083,0.1921397,243,0.0576132,0.691358,192,149
53800,9251,2817,3546,0.5334558,0.153605,0.5435088,0.1578208,0.1906373,3682,0.0369364,0.8585008,383,150
21600,149,43,57,0.4966443,0.1677852,0.5838926,0.1208054,0.245614,64,0.109375,0.875,225,151
20300,270,66,80,0.5592593,0.1814815,0.4407407,0.1296296,0.175,83,0.0361446,0.7710843,138,152
24100,4681,1289,1862,0.5340739,0.1713309,0.4751122,0.1845759,0.2889366,2093,0.1103679,0.6913521,195,153
17400,1933,496,715,0.569581,0.1945163,0.3988619,0.2074496,0.2965035,805,0.1118012,0.6869565,149,154
31900,801,236,334,0.5393258,0.1735331,0.4881398,0.1922597,0.2874251,361,0.0747922,0.7313019,164,155
